,a,b,c,d,e,f,g,h,i,j
1123,61,669,341,317,127,701,817,921,724,701
1124,282,149,122,207,339,732,66,140,667,229
1125,266,775,395,178,117,203,708,459,666,34
1126,220,759,407,270,534,573,633,201,728,717
1127,372,493,447,557,64,824,486,734,998,700
1128,527,818,721,82,400,10,569,794,471,521
1129,324,438,379,585,647,535,802,111,234,727
1130,994,355,576,220,60,246,369,814,984,824
1131,256,18,258,365,627,271,306,465,50,371
1132,186,114,808,611,707,514,23,517,984,835
1133,572,737,665,470,243,184,183,992,235,424
1134,373,813,31,109,59,537,676,174,616,888
1135,522,927,840,303,639,147,150,424,15,683
1136,356,695,839,796,94,301,586,918,197,135
1137,801,225,154,400,312,358,268,978,970,601
1138,197,417,986,331,768,467,455,771,362,673
1139,527,282,836,465,379,462,23,228,159,952
1140,189,726,40,943,316,72,701,572,597,929
1141,468,135,649,159,619,967,153,782,321,480
1142,565,861,29,472,695,558,130,528,87,53
1143,368,350,920,271,11,203,387,173,180,247
1144,141,382,352,590,515,521,970,311,567,94
1145,466,917,396,400,370,207,322,345,553,100
1146,293,342,555,324,302,386,30,29,282,453
1147,400,353,436,229,581,799,713,675,409,994
1148,149,856,894,873,887,205,644,510,555,333
1149,825,796,763,978,923,112,515,109,869,101
1150,159,770,102,419,118,979,699,672,743,164
1151,418,838,373,86,793,756,483,15,499,400
1152,482,203,571,315,168,107,34,39,809,269
1153,601,220,697,896,585,542,271,289,62,810
1154,305,164,628,670,732,927,495,679,861,731
1155,233,445,52,195,907,244,575,747,65,239
1156,942,575,392,682,172,738,663,391,104,625
1157,197,654,752,478,480,359,478,322,765,23
1158,549,160,644,93,873,764,668,841,337,395
1159,118,860,551,908,648,208,798,73,111,793
1160,575,586,953,819,217,659,318,5,227,261
1161,600,544,507,674,704,588,279,343,339,546
1162,6,768,728,631,758,922,411,564,408,772
1163,781,976,699,792,988,37,78,7,417,748
1164,127,924,472,936,693,726,131,57,855,474
1165,996,685,93,821,546,499,959,967,457,628
1166,531,213,326,828,661,480,248,300,736,400
1167,856,236,115,473,716,857,915,101,239,36
1168,94,225,72,888,946,481,205,834,330,682
1169,348,646,60,907,240,458,659,929,740,306
1170,125,566,677,774,348,150,73,818,846,376
1171,369,416,972,153,114,902,709,781,2,330
1172,947,182,178,940,434,117,804,690,626,960
1173,875,469,723,475,327,443,63,282,326,603
1174,215,689,332,980,747,152,695,128,158,690
1175,504,812,329,973,109,417,5,185,229,497
1176,745,845,763,968,30,848,908,80,353,453
1177,658,666,486,445,940,595,742,490,309,656
1178,432,760,954,620,415,49,85,426,626,16
1179,999,274,754,387,265,308,470,118,51,142
1180,552,285,850,561,202,120,967,514,354,652
1181,779,347,352,237,367,879,973,627,213,866
1182,73,132,524,390,785,180,722,109,444,894
1183,346,88,950,18,596,808,999,931,323,674
1184,445,550,872,390,717,866,55,517,252,412
1185,971,617,204,841,664,736,830,313,166,81
1186,296,707,763,694,578,159,756,56,581,334
1187,333,822,997,576,876,493,850,846,292,490
1188,331,910,714,65,924,333,484,736,113,975
1189,668,260,318,254,634,53,476,333,218,760
1190,474,607,743,811,53,74,269,917,249,296
1191,288,239,903,541,915,825,856,649,248,948
1192,655,303,493,280,530,79,585,946,741,827
1193,460,859,972,438,732,983,249,657,65,189
1194,417,185,861,845,640,516,129,652,391,828
1195,194,445,46,719,536,742,635,136,695,77
1196,682,163,458,501,365,914,690,973,740,239
1197,294,195,380,473,712,196,12,330,320,332
1198,577,13,688,80,55,393,266,695,248,564
1199,350,397,677,969,321,990,791,102,447,663
1200,255,157,638,945,524,373,143,249,568,283
1201,772,720,867,33,469,141,810,658,258,810
1202,3,971,982,823,679,583,978,404,911,800
1203,534,850,949,755,294,974,89,531,94,806
1204,226,349,295,648,192,401,820,327,464,4
1205,983,984,98,227,360,636,302,798,107,415
1206,39,136,276,470,320,31,843,474,507,653
1207,106,746,823,594,521,369,31,153,668,357
1208,321,336,974,434,430,336,720,770,961,63
1209,843,344,94,451,775,218,128,748,735,269
1210,854,573,993,263,742,952,663,485,216,174
1211,102,810,909,851,296,830,258,989,979,873
1212,60,950,26,544,503,603,404,101,344,936
1213,465,693,68,707,606,679,965,369,553,465
1214,464,162,276,383,798,382,988,770,760,919
1215,841,154,75,333,370,242,598,580,299,524
1216,463,107,580,392,271,185,651,611,643,441
1217,83,154,826,73,495,41,650,725,811,900
1218,75,685,408,246,242,181,466,873,280,405
1219,87,159,847,468,160,893,108,921,854,791
1220,304,511,70,603,222,673,628,283,648,811
1221,19,35,209,547,896,203,741,993,486,650
1222,533,165,764,146,700,23,432,464,44,573
1223,914,501,878,760,779,220,705,502,513,507
1224,493,148,278,513,269,707,275,276,874,284
1225,355,911,524,410,212,789,918,804,145,115
1226,632,545,234,742,416,536,587,611,946,998
1227,432,94,759,616,194,757,991,784,798,881
1228,972,623,943,765,972,464,20,906,429,468
1229,918,949,4,850,531,996,662,993,277,880
1230,267,917,463,702,671,739,933,697,697,683
1231,80,565,514,151,47,62,142,673,544,663
1232,984,409,140,147,930,663,562,631,312,6
1233,857,945,449,439,592,515,856,51,193,709
1234,615,134,442,30,944,105,311,878,790,917
1235,515,382,689,761,413,147,803,307,811,836
1236,695,323,256,430,629,157,43,923,589,144
1237,11,716,92,170,19,813,812,871,200,885
1238,756,255,436,955,100,840,568,520,231,346
1239,362,7,469,706,228,372,543,245,637,63
1240,51,411,882,608,907,361,562,794,621,999
1241,667,233,899,604,785,731,925,174,466,638
1242,980,707,689,386,24,864,554,66,811,529
1243,142,973,169,97,599,685,509,848,223,845
1244,552,976,41,717,582,829,606,333,300,992
1245,743,311,460,660,142,712,762,917,413,913
1246,365,939,475,299,584,686,33,596,21,435
1247,18,331,622,144,499,997,348,560,319,681
1248,79,824,698,67,203,273,577,350,831,423
1249,529,471,68,645,543,764,615,759,728,360
1250,290,377,106,395,904,430,157,986,433,878
1251,651,678,518,843,408,965,581,445,864,573
1252,453,47,769,871,490,720,786,120,917,649
1253,466,657,765,673,239,854,516,360,420,710
1254,37,629,746,777,452,838,146,872,924,688
1255,877,919,966,383,1,66,451,378,835,246
1256,993,379,509,831,562,343,394,731,771,964
1257,595,924,24,604,541,233,981,571,35,935
1258,792,622,337,315,485,682,34,521,556,46
1259,575,124,979,812,94,88,457,326,26,133
1260,478,527,808,258,950,236,304,107,837,561
1261,406,228,69,334,754,496,883,262,394,812
1262,993,319,159,333,678,44,56,792,654,161
1263,549,609,110,782,389,64,399,239,736,516
1264,584,251,303,409,726,555,830,612,695,29
1265,537,558,382,890,171,7,685,366,467,894
1266,430,639,856,204,685,399,878,57,983,965
1267,995,141,571,294,749,706,156,969,635,954
1268,597,210,961,458,514,745,38,507,260,518
1269,50,466,88,786,697,201,789,686,585,22
1270,16,565,111,783,206,124,894,773,591,295
1271,977,787,344,907,493,263,830,258,194,901
1272,388,273,136,147,434,73,657,748,791,924
1273,760,518,37,791,116,431,204,416,219,827
1274,584,917,637,207,111,963,869,322,932,927
1275,165,533,765,529,359,776,534,335,664,881
1276,363,399,916,990,825,224,484,397,145,666
1277,481,94,430,910,354,95,252,396,204,685
1278,182,120,741,160,361,327,625,676,635,800
1279,171,333,263,213,186,307,268,656,540,608
1280,68,938,978,322,355,166,371,108,859,653
1281,546,456,188,260,198,572,3,961,537,758
1282,944,998,856,127,204,564,494,37,429,371
1283,654,667,339,918,321,268,61,740,361,201
1284,177,542,503,635,128,487,848,62,260,295
1285,723,464,238,547,909,71,327,0,914,353
1286,195,539,439,478,762,33,512,743,852,428
1287,19,661,783,574,89,538,242,767,439,281
1288,742,387,159,218,949,308,962,958,308,767
1289,551,406,567,678,853,216,818,627,889,650
1290,108,748,641,424,607,60,834,469,582,321
1291,136,885,32,614,634,524,627,300,632,163
1292,381,548,501,321,686,480,774,34,552,59
1293,944,30,320,497,128,316,160,206,887,671
1294,917,62,255,274,993,388,258,190,240,407
1295,749,49,451,463,163,925,54,746,73,820
1296,255,594,862,547,746,521,614,94,345,412
1297,459,806,95,132,991,909,978,53,459,820
1298,372,671,81,498,898,876,442,160,374,305
1299,689,180,317,685,758,94,813,762,875,288
1300,298,575,646,301,188,316,750,225,382,333
1301,527,934,93,848,563,47,328,896,871,83
1302,782,513,289,819,337,798,594,3,493,194
1303,875,970,426,933,446,938,130,808,110,745
1304,969,490,279,581,359,924,60,672,712,220
1305,180,280,981,313,272,636,463,984,397,205
1306,810,400,872,512,997,393,585,492,787,682
1307,730,314,575,879,737,549,952,621,980,835
1308,934,216,30,937,313,852,681,520,915,783
1309,222,326,357,282,3,955,128,180,219,27
1310,925,487,367,743,600,376,211,773,784,209
1311,451,516,372,260,441,257,809,519,47,582
1312,16,665,531,484,18,501,370,368,799,320
1313,200,249,562,59,689,5,222,587,58,166
1314,864,31,542,690,876,818,45,361,195,143
1315,544,90,393,504,952,475,151,100,400,885
1316,734,634,65,843,837,771,325,318,50,530
1317,147,408,637,880,428,812,870,550,10,472
1318,864,120,447,663,571,302,520,115,605,986
1319,987,593,4,684,747,72,324,419,408,741
1320,818,978,264,543,818,576,821,587,370,946
1321,590,674,585,967,996,790,726,808,37,528
1322,533,814,563,316,698,253,548,340,412,817
1323,307,494,777,123,844,109,634,27,104,951
1324,233,590,880,788,899,645,938,502,249,164
1325,440,729,212,250,283,852,793,86,425,972
1326,847,755,738,72,668,113,625,291,364,619
1327,960,891,324,628,665,350,660,892,86,616
1328,130,904,109,233,965,6,566,440,395,212
1329,338,229,198,251,850,897,521,118,30,748
1330,902,242,384,171,523,766,898,957,285,101
1331,742,85,32,589,159,973,161,204,482,706
1332,60,360,279,426,653,407,370,410,313,211
1333,672,851,532,727,134,257,204,576,597,518
1334,184,745,283,747,741,987,900,754,397,263
1335,142,655,595,416,161,635,217,521,505,699
1336,983,296,177,167,785,199,526,507,962,617
1337,271,532,380,847,338,247,960,106,234,975
1338,959,534,675,987,664,305,896,963,427,638
1339,88,691,386,573,146,95,377,92,544,440
1340,535,472,708,425,712,874,455,532,783,284
1341,940,908,10,915,473,409,63,229,208,195
1342,290,262,612,925,144,427,888,734,579,666
1343,558,441,933,376,508,54,580,355,476,773
1344,448,567,374,37,331,497,863,613,77,503
1345,308,767,479,276,438,6,377,249,136,306
1346,447,862,478,266,650,858,214,801,240,355
1347,354,580,721,118,784,793,388,335,953,548
1348,244,600,240,719,220,681,703,82,629,703
1349,504,722,459,952,570,145,650,556,920,569
1350,623,915,265,638,706,715,562,577,437,832
1351,308,929,280,264,340,458,347,344,766,610
1352,409,111,536,329,616,526,779,647,387,682
1353,173,684,260,123,692,510,142,417,951,424
1354,44,219,65,685,14,121,746,335,267,237
1355,501,613,0,57,19,542,537,539,261,992
1356,592,486,61,150,961,702,793,789,112,105
1357,437,497,831,921,587,781,792,757,416,606
1358,978,297,516,168,360,774,32,404,685,759
1359,365,141,69,957,909,555,221,421,608,481
1360,685,818,11,211,924,802,463,790,54,73
1361,763,374,114,162,462,970,633,12,798,901
1362,886,457,822,110,365,391,908,163,332,28
1363,864,63,931,579,962,610,180,299,509,646
1364,950,146,606,672,451,164,448,959,315,875
1365,300,754,412,42,158,733,660,953,953,589
1366,435,431,113,542,622,704,454,172,931,104
1367,170,560,989,198,138,652,923,928,681,858
1368,508,446,626,723,954,955,429,487,386,952
1369,886,216,539,74,847,415,724,204,187,79
1370,844,27,19,905,397,554,869,539,714,330
1371,81,846,834,433,951,982,593,368,488,590
1372,218,702,531,482,289,647,25,922,492,465
1373,164,102,112,969,59,611,920,984,522,538
1374,409,5,731,533,426,110,856,47,812,672
1375,568,4,398,318,736,944,913,408,267,859
1376,319,314,38,290,512,657,972,504,794,484
1377,424,312,693,121,524,838,893,550,792,728
1378,646,814,43,158,151,844,14,263,524,490
1379,349,447,190,831,935,685,765,460,355,824
1380,873,396,989,907,732,261,863,996,909,398
1381,326,613,119,313,508,294,433,115,475,564
1382,889,7,357,817,841,372,485,32,715,918
1383,159,63,677,985,137,285,193,49,771,535
1384,390,613,547,11,455,527,540,805,735,678
1385,49,770,854,621,337,963,974,837,415,87
1386,528,159,949,511,388,527,216,273,339,363
1387,31,737,76,290,36,885,655,836,392,710
1388,937,291,625,643,827,324,695,698,126,850
1389,393,464,784,679,143,853,707,110,86,324
1390,543,200,859,608,309,16,661,45,559,367
1391,163,462,317,664,766,457,539,971,175,527
1392,733,506,135,854,220,546,129,963,571,968
1393,993,270,935,49,466,435,294,392,422,637
1394,289,787,670,949,124,777,406,161,589,542
1395,568,706,484,471,776,500,796,994,298,631
1396,905,111,261,27,136,952,134,205,548,525
1397,53,638,33,843,177,85,282,803,600,213
1398,992,50,197,969,403,114,405,696,221,834
1399,980,712,142,481,587,608,582,770,997,77
1400,630,520,216,647,885,783,417,404,512,821
1401,467,94,392,267,853,337,320,850,816,225
1402,197,819,871,143,539,762,794,266,775,374
1403,827,568,989,747,427,357,733,102,27,557
1404,70,87,5,778,570,881,403,716,652,252
1405,162,880,264,687,88,275,918,800,3,253
1406,223,220,709,785,345,925,478,289,391,544
1407,704,30,995,385,895,748,720,233,444,403
1408,769,443,718,286,604,474,299,12,507,10
1409,570,640,557,939,514,17,231,798,57,653
1410,803,818,679,992,436,689,561,326,602,805
1411,27,936,946,526,341,423,67,942,210,324
1412,777,175,227,387,949,965,881,151,648,425
1413,670,98,598,775,10,112,349,946,510,788
1414,533,491,50,237,615,972,250,228,608,605
1415,459,547,990,156,917,447,299,355,13,767
1416,477,312,33,6,795,860,147,512,246,835
1417,289,746,568,3,884,966,754,432,962,923
1418,456,717,845,656,969,149,521,170,738,98
1419,238,77,781,988,721,826,821,802,506,911
1420,815,125,446,798,467,894,161,626,988,407
1421,884,664,660,760,556,887,480,116,139,649
1422,100,227,181,937,516,596,267,904,517,197
1423,996,300,228,901,12,267,298,908,546,887
1424,858,0,621,434,283,221,244,56,597,221
1425,848,851,406,780,761,771,393,761,719,830
1426,652,678,681,246,653,80,545,34,331,677
1427,423,717,15,219,572,332,60,869,770,677
1428,367,465,830,514,604,899,813,492,121,946
1429,504,493,463,673,607,482,503,546,333,476
1430,751,857,835,287,238,417,609,185,946,753
1431,116,395,840,419,286,298,870,525,118,236
1432,758,493,356,930,277,821,238,947,864,76
1433,379,729,302,654,560,442,42,21,487,159
1434,346,419,389,607,856,9,15,698,262,818
1435,989,536,832,61,802,905,488,938,34,798
1436,790,281,890,389,666,659,631,928,865,987
1437,142,449,726,39,489,301,94,402,751,558
1438,365,97,179,96,989,976,311,164,294,298
1439,344,957,228,769,258,442,598,534,63,88
1440,495,846,964,46,987,208,323,412,584,728
1441,776,92,350,533,604,750,62,983,832,545
1442,900,174,205,7,960,604,938,769,450,972
1443,147,580,919,148,384,490,191,496,603,265
1444,429,359,186,523,471,32,816,439,455,777
1445,950,200,559,399,834,266,189,268,193,285
1446,660,186,449,73,742,296,57,826,787,93
1447,116,380,279,12,102,702,832,508,521,694
1448,849,202,557,376,726,19,846,898,877,972
1449,847,850,845,642,695,274,729,619,919,236
1450,836,264,720,556,864,456,827,41,907,519
1451,442,49,717,169,330,123,830,956,840,108
1452,821,299,921,207,347,643,581,761,846,183
1453,730,514,407,211,782,295,818,317,201,954
1454,511,171,664,491,818,715,503,318,388,869
1455,180,768,898,536,647,548,32,720,411,405
1456,697,756,382,775,605,453,563,343,978,307
1457,860,761,303,80,453,605,421,892,910,445
1458,210,111,806,671,67,210,683,328,876,924
1459,83,170,411,96,531,974,671,690,600,69
1460,902,926,398,407,90,338,799,244,236,502
1461,137,538,195,969,978,402,384,600,613,401
1462,716,728,744,675,872,970,738,130,85,297
1463,738,200,318,292,247,690,995,714,677,370
1464,6,378,320,717,439,974,416,834,828,648
1465,528,708,890,270,831,123,608,871,230,776
1466,226,992,323,612,530,837,765,63,893,514
1467,199,503,880,527,651,595,923,895,592,110
1468,507,628,111,15,794,653,798,116,148,876
1469,665,914,426,691,733,396,929,396,489,399
1470,162,350,862,916,650,193,116,786,607,811
1471,480,807,74,475,303,681,936,102,393,357
1472,38,126,173,203,397,726,923,384,180,462
1473,644,434,377,13,216,43,429,478,475,790
1474,405,997,536,669,672,126,179,942,73,688
1475,461,786,37,249,284,577,318,62,370,60
1476,205,914,11,635,320,53,246,294,383,230
1477,50,335,309,950,677,237,925,973,968,733
1478,446,516,558,477,758,930,647,702,459,976
1479,769,531,122,295,241,27,5,918,79,194
1480,915,9,418,34,202,374,131,360,285,901
1481,753,825,832,54,744,411,879,621,817,76
1482,58,311,57,913,969,687,1,963,204,840
1483,99,918,198,663,332,552,47,691,641,840
1484,6,634,62,624,583,980,530,200,79,318
1485,29,23,342,806,35,604,92,298,632,868
1486,346,896,195,3,737,96,302,781,338,467
1487,339,663,749,563,488,950,296,12,725,293
1488,88,231,773,433,873,622,511,282,474,714
1489,492,393,589,835,544,994,948,235,597,457
1490,668,792,454,255,253,935,599,695,145,957
1491,902,483,939,838,503,259,935,78,470,740
1492,119,604,376,197,499,649,538,674,116,2
1493,144,745,727,318,666,336,8,551,920,859
1494,560,125,926,258,697,267,881,611,865,813
1495,376,277,707,225,103,713,631,267,819,618
1496,379,830,259,341,270,39,642,467,405,483
1497,533,786,985,238,46,49,360,661,87,574
1498,10,972,717,252,176,589,251,406,106,248
1499,145,915,865,53,711,172,837,504,173,897
1500,198,590,256,201,999,411,642,52,519,176
1501,667,134,864,63,655,155,348,80,230,387
1502,728,981,409,337,895,226,185,98,804,569
1503,142,882,356,816,955,304,150,400,381,377
1504,103,532,531,757,953,844,667,496,768,431
1505,249,828,323,920,883,859,138,576,939,936
1506,13,512,599,893,301,561,182,449,925,410
1507,728,192,213,201,176,155,777,394,794,941
1508,634,201,420,630,616,644,855,682,801,263
1509,669,388,841,593,442,490,487,943,510,176
1510,411,44,218,247,717,351,5,640,913,834
1511,194,954,451,664,435,403,97,598,628,576
1512,277,887,125,520,333,450,248,589,985,416
1513,156,305,986,144,770,735,381,474,517,826
1514,775,749,765,732,614,659,450,50,293,506
1515,342,364,615,631,820,711,737,888,779,45
1516,350,583,369,211,440,426,758,317,818,68
1517,260,34,975,391,592,247,295,967,775,430
1518,966,743,686,453,693,95,762,342,65,586
1519,80,59,714,302,36,560,715,694,258,217
1520,68,913,744,673,433,346,595,601,673,779
1521,550,168,26,205,85,615,974,56,445,724
1522,419,566,258,477,64,408,97,49,6,717
1523,515,161,505,856,408,788,982,218,55,862
1524,674,23,470,887,265,838,822,74,600,713
1525,168,499,90,508,540,214,422,641,923,440
1526,479,95,671,716,975,426,371,673,429,124
1527,630,769,364,807,77,228,300,880,377,661
1528,445,624,349,322,2,937,422,263,440,396
1529,728,203,446,257,943,498,111,21,126,443
1530,99,956,459,662,68,242,394,863,694,71
1531,344,144,208,774,729,309,235,436,460,179
1532,704,788,158,930,366,634,559,315,4,599
1533,65,368,769,216,594,242,432,468,307,156
1534,193,524,642,616,449,374,969,596,437,545
1535,894,431,549,913,675,459,904,120,562,373
1536,683,349,589,751,402,60,987,305,785,598
1537,380,399,148,699,131,506,217,879,107,108
1538,218,186,550,903,658,885,488,18,138,113
1539,793,871,249,944,841,617,104,743,284,161
1540,482,741,612,549,171,441,743,220,670,345
1541,674,58,849,697,535,954,534,250,79,761
1542,487,315,924,129,541,565,46,122,728,909
1543,815,20,578,436,452,803,451,212,328,68
1544,78,618,234,584,610,821,625,609,189,786
1545,581,34,701,468,535,817,455,164,247,997
1546,243,525,93,26,558,914,838,160,678,127
1547,658,414,548,8,497,368,950,883,940,409
1548,178,752,812,633,371,198,969,972,405,678
1549,420,698,725,22,410,222,379,374,135,869
1550,218,427,320,519,75,316,385,704,567,594
1551,976,842,746,268,415,896,808,314,997,549
1552,356,685,382,444,118,745,889,820,479,63
1553,873,359,396,893,442,277,487,423,474,743
1554,548,121,314,399,125,984,468,777,792,675
1555,563,262,912,437,653,914,737,574,418,394
1556,354,421,216,381,230,889,995,638,629,452
1557,167,832,909,477,722,83,161,600,299,356
1558,642,713,238,426,555,936,124,752,456,411
1559,190,395,766,490,31,854,499,310,632,391
1560,46,572,917,780,333,844,502,20,145,384
1561,845,992,886,104,998,653,510,4,993,600
1562,787,909,119,327,670,516,325,344,595,882
1563,74,57,280,127,513,58,304,782,341,273
1564,237,611,835,244,549,667,288,403,57,496
1565,28,228,544,615,988,513,617,582,360,501
1566,738,814,660,708,613,454,357,431,731,594
1567,369,745,132,88,741,975,943,364,88,912
1568,588,344,112,852,213,79,992,356,991,746
1569,461,557,801,889,176,765,229,270,852,669
1570,572,347,673,794,719,350,734,822,181,595
1571,909,277,466,227,117,746,298,643,32,546
1572,535,101,642,751,544,175,560,265,777,95
1573,675,962,174,64,858,355,764,689,838,181
1574,22,840,389,963,797,263,463,116,315,18
1575,566,965,513,570,89,481,680,978,371,429
1576,37,551,935,599,713,685,740,961,312,800
1577,506,32,658,456,385,617,959,428,998,677
1578,996,851,362,212,941,100,803,97,14,234
1579,12,30,420,525,776,784,488,761,555,99
1580,625,423,548,227,584,362,727,798,415,268
1581,248,936,301,216,589,881,15,876,497,465
1582,30,524,491,771,108,200,230,525,950,556
1583,294,595,779,151,654,343,884,5,106,347
1584,67,405,837,731,380,745,38,372,957,623
1585,498,817,888,315,48,735,323,683,998,842
1586,99,895,388,567,571,55,996,690,393,29
1587,769,131,814,654,942,960,976,274,503,187
1588,375,255,838,838,942,210,521,53,387,646
1589,857,673,414,983,275,801,523,727,338,318
1590,46,31,341,323,630,215,796,621,804,530
1591,830,857,831,139,228,34,424,664,207,790
1592,21,22,506,192,917,251,431,753,356,338
1593,928,505,667,955,177,354,973,297,471,891
1594,8,62,162,844,845,609,102,246,496,934
1595,265,725,315,394,684,777,983,873,887,413
1596,279,150,65,462,180,334,833,211,214,916
1597,494,489,653,214,640,899,877,971,943,145
1598,996,245,432,613,881,903,77,87,891,208
1599,909,310,360,541,396,258,22,775,696,921
1600,598,819,102,376,844,932,567,804,397,582
1601,663,896,464,346,813,691,94,669,855,4
1602,891,688,992,190,321,387,409,630,351,731
1603,210,272,913,474,865,535,417,163,844,24
1604,686,976,47,927,384,803,807,644,414,16
1605,993,61,12,604,272,727,689,223,394,643
1606,591,612,398,464,609,975,326,174,181,578
1607,920,401,157,219,923,517,22,101,718,20
1608,714,438,883,251,921,676,819,148,749,288
1609,211,970,274,225,817,264,555,665,256,597
1610,321,411,859,299,642,270,658,803,28,819
1611,596,442,333,169,895,978,522,334,555,30
1612,809,443,219,736,63,300,879,892,821,659
1613,347,698,827,501,138,272,712,354,131,37
1614,962,455,627,651,231,89,740,851,310,89
1615,538,830,36,46,284,736,215,499,385,148
1616,199,683,600,78,195,487,552,135,109,0
1617,352,605,949,757,52,442,811,505,552,735
1618,745,840,982,33,879,616,452,688,98,356
1619,762,163,788,147,651,336,990,115,73,316
1620,584,40,822,174,442,105,35,221,118,557
1621,352,999,902,251,482,675,652,241,118,974
1622,858,43,327,312,797,428,222,796,297,374
1623,677,250,418,848,63,623,236,419,743,251
1624,735,836,908,372,446,675,244,834,155,764
1625,918,265,756,548,527,264,142,161,567,251
1626,49,147,156,555,959,576,695,25,144,843
1627,454,16,520,750,537,423,344,945,568,830
1628,69,514,130,289,220,273,400,578,371,998
1629,319,124,71,151,274,497,869,251,817,382
1630,506,124,728,697,480,754,264,571,737,345
1631,410,512,289,226,193,357,752,625,764,277
1632,887,63,371,284,707,106,203,335,750,627
1633,333,197,740,856,776,352,111,558,94,765
1634,357,836,991,2,740,865,728,847,478,669
1635,737,347,971,692,933,631,494,566,350,262
1636,364,580,248,194,768,333,123,990,80,205
1637,677,201,621,404,451,443,522,354,834,989
1638,526,603,450,288,951,78,381,509,449,958
1639,0,816,256,998,544,905,792,475,205,454
1640,698,647,720,672,450,568,508,316,277,507
1641,639,949,57,534,90,680,893,533,679,140
1642,323,452,728,919,698,624,607,448,705,200
1643,991,506,950,287,607,17,266,990,720,455
1644,942,691,288,40,434,341,268,860,826,551
1645,124,216,388,288,169,973,567,456,346,988
1646,19,971,41,934,831,869,606,980,863,644
1647,762,842,603,967,853,691,330,35,530,362
1648,911,82,446,476,67,140,371,167,314,559
1649,258,771,301,667,725,409,171,76,398,236
1650,914,736,424,146,434,189,127,404,677,991
1651,872,266,981,166,354,252,347,659,255,237
1652,200,224,611,961,127,59,843,241,311,116
1653,710,596,652,635,746,929,896,544,921,48
1654,968,292,121,898,285,866,419,912,586,454
1655,982,103,323,195,889,491,536,98,726,344
1656,683,152,368,985,482,365,746,497,540,749
1657,574,257,202,533,960,713,185,415,270,732
1658,675,19,227,526,44,699,548,199,565,755
1659,998,540,936,774,729,853,900,656,732,108
1660,668,342,740,621,951,827,499,834,551,5
1661,188,627,85,670,842,56,762,478,674,749
1662,443,437,322,159,477,980,57,117,193,35
1663,1,550,805,942,853,397,324,362,109,500
1664,110,807,131,940,241,59,629,436,657,468
1665,266,642,339,256,816,852,410,58,560,442
1666,78,449,10,746,306,719,473,73,356,971
1667,974,446,117,465,29,485,560,967,886,849
1668,862,385,553,808,816,918,15,527,743,111
1669,24,47,848,596,122,649,47,996,855,360
1670,187,420,162,858,543,793,237,676,204,679
1671,634,513,166,269,230,561,449,296,621,850
1672,38,692,931,54,71,284,339,26,748,496
1673,229,857,867,87,611,697,415,535,396,99
1674,916,473,330,205,514,876,490,394,179,26
1675,201,125,134,762,264,460,940,543,434,893
1676,48,674,911,209,540,67,428,774,30,52
1677,96,517,244,64,528,905,670,698,773,594
1678,729,337,419,11,549,737,345,220,338,129
1679,764,77,274,555,363,756,777,682,303,128
1680,163,615,525,906,439,335,187,840,915,363
1681,685,688,480,714,898,804,590,347,510,355
1682,653,986,228,624,604,608,46,320,906,92
1683,804,96,285,352,904,129,418,292,770,556
1684,838,191,937,841,240,3,634,555,545,353
1685,932,31,272,500,178,726,992,485,805,176
1686,706,768,860,455,873,512,11,936,437,535
1687,312,663,210,495,952,320,332,480,482,63
1688,834,233,696,576,995,813,618,242,380,516
1689,724,596,47,91,725,376,408,91,68,411
1690,522,953,414,306,571,765,600,77,357,122
1691,572,175,319,650,755,802,323,549,971,650
1692,198,866,224,27,297,64,187,546,785,430
1693,304,190,176,618,959,709,633,228,274,278
1694,195,943,780,307,458,130,525,919,516,543
1695,604,542,378,87,335,824,936,789,548,779
1696,603,513,548,800,949,852,546,43,546,716
1697,34,669,459,240,931,137,637,209,76,696
1698,696,874,443,761,938,141,385,474,971,301
1699,946,358,68,401,371,317,752,773,146,906
1700,230,981,564,182,273,786,912,584,344,895
1701,781,347,105,919,799,142,494,552,420,466
1702,834,655,212,394,135,910,923,746,658,713
1703,916,390,912,654,965,864,212,743,367,431
1704,219,101,244,747,13,509,591,974,756,109
1705,43,569,256,907,617,750,41,61,457,336
1706,709,878,611,93,0,764,143,748,508,498
1707,75,150,741,218,814,117,11,986,135,612
1708,947,430,721,343,495,465,817,65,343,862
1709,921,973,906,367,132,853,553,202,460,971
1710,613,892,218,709,726,745,298,427,946,895
1711,124,403,137,387,560,317,611,881,997,575
1712,21,73,824,368,735,579,327,354,824,540
1713,640,120,651,539,977,264,246,729,213,974
1714,19,921,91,879,853,672,787,588,41,331
1715,265,736,399,186,38,604,283,474,623,438
1716,188,269,640,149,367,951,215,882,827,102
1717,105,812,413,68,398,615,492,378,479,970
1718,109,795,341,70,68,239,478,669,990,454
1719,623,894,428,271,71,584,421,877,234,114
1720,829,160,186,301,615,180,677,311,541,392
1721,794,655,353,355,675,304,314,835,992,422
1722,247,978,922,686,319,365,696,913,982,287
1723,627,923,96,292,968,31,161,109,723,144
1724,436,642,420,983,275,779,902,639,660,647
1725,797,604,648,543,758,503,490,888,402,669
1726,160,592,468,707,591,607,617,795,834,480
1727,404,676,549,948,953,94,727,35,401,111
1728,228,47,601,22,513,490,844,939,403,153
1729,508,153,49,545,485,33,572,376,680,577
